"YearStart","LocationAbbr","Class","Data_Value","Data_Value_Alt","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Age(years)","Education","Gender","Income","Race/Ethnicity","GeoLocation","ClassID","TopicID","QuestionID","StratificationCategory1","Stratification1","StratificationCategoryId1","StratificationID1","Number_people"
2011,"AK","Physical Activity",26,26,22,30.5,778,"55 - 64",NA,NA,NA,NA,"(64.845079957001, -147.722059036)","PA","PA1","Q047","Age (years)","55 - 64","AGEYR","AGEYR5564",203
2011,"AK","Physical Activity",16.1,16.1,11,22.9,215,"18 - 24",NA,NA,NA,NA,"(64.845079957001, -147.722059036)","PA","PA1","Q047","Age (years)","18 - 24","AGEYR","AGEYR1824",35
2011,"AK","Physical Activity",18.1,18.1,14.1,23,458,"25 - 34",NA,NA,NA,NA,"(64.845079957001, -147.722059036)","PA","PA1","Q047","Age (years)","25 - 34","AGEYR","AGEYR2534",83
2011,"AK","Physical Activity",24.7,24.7,20.8,29,741,"45 - 54",NA,NA,NA,NA,"(64.845079957001, -147.722059036)","PA","PA1","Q047","Age (years)","45 - 54","AGEYR","AGEYR4554",184
2011,"AK","Physical Activity",21.1,21.1,16.9,26.1,561,"35 - 44",NA,NA,NA,NA,"(64.845079957001, -147.722059036)","PA","PA1","Q047","Age (years)","35 - 44","AGEYR","AGEYR3544",119
2011,"AK","Physical Activity",27.4,27.4,23.1,32.1,596,"65 or older",NA,NA,NA,NA,"(64.845079957001, -147.722059036)","PA","PA1","Q047","Age (years)","65 or older","AGEYR","AGEYR65PLUS",164
2011,"AK","Physical Activity",26.9,26.9,23.2,31,964,NA,"High school graduate",NA,NA,NA,"(64.845079957001, -147.722059036)","PA","PA1","Q047","Education","High school graduate","EDU","EDUHSGRAD",260
2011,"AK","Physical Activity",12.5,12.5,10.2,15.3,1160,NA,"College graduate",NA,NA,NA,"(64.845079957001, -147.722059036)","PA","PA1","Q047","Education","College graduate","EDU","EDUCOGRAD",145
2011,"AK","Physical Activity",21.2,21.2,18.2,24.6,974,NA,"Some college or technical school",NA,NA,NA,"(64.845079957001, -147.722059036)","PA","PA1","Q047","Education","Some college or technical school","EDU","EDUCOTEC",207
2011,"AK","Physical Activity",33.2,33.2,26.1,41.2,241,NA,"Less than high school",NA,NA,NA,"(64.845079957001, -147.722059036)","PA","PA1","Q047","Education","Less than high school","EDU","EDUHS",81
2011,"AK","Physical Activity",20.1,20.1,17.7,22.7,1543,NA,NA,"Male",NA,NA,"(64.845079957001, -147.722059036)","PA","PA1","Q047","Gender","Male","GEN","MALE",311
2011,"AK","Physical Activity",24,24,21.3,27.1,1806,NA,NA,"Female",NA,NA,"(64.845079957001, -147.722059036)","PA","PA1","Q047","Gender","Female","GEN","FEMALE",434
2011,"AK","Physical Activity",25.7,25.7,20,32.3,398,NA,NA,NA,"$35,000 - $49,999",NA,"(64.845079957001, -147.722059036)","PA","PA1","Q047","Income","$35,000 - $49,999","INC","INC3550",103
2011,"AK","Physical Activity",17.1,17.1,14.4,20.3,1108,NA,NA,NA,"$75,000 or greater",NA,"(64.845079957001, -147.722059036)","PA","PA1","Q047","Income","$75,000 or greater","INC","INC75PLUS",190
2011,"AK","Physical Activity",25.8,25.8,18.8,34.3,223,NA,NA,NA,"$25,000 - $34,999",NA,"(64.845079957001, -147.722059036)","PA","PA1","Q047","Income","$25,000 - $34,999","INC","INC2535",58
2011,"AK","Physical Activity",25,25,18.5,32.9,263,NA,NA,NA,"Less than $15,000",NA,"(64.845079957001, -147.722059036)","PA","PA1","Q047","Income","Less than $15,000","INC","INCLESS15",66
